pais,fecha,ranking,cancion,artista,artista_normalizado,fuente
Mexico;2026-03-19;15;Pase y Toque;BeatBoy, Victor Mendivil;BeatBoy;Spotify Charts
Mexico;2026-03-19;16;PUES QUE LE HAGO ?;Chuyin;Chuyin;Spotify Charts
Mexico;2026-03-19;17;POR SUS BESOS;Tito Double P;Tito Double P;Spotify Charts
Mexico;2026-03-19;18;Cuando No Era Cantante;El Bogueto, Yung Beef;El Bogueto;Spotify Charts
Mexico;2026-03-19;19;BAILE INoLVIDABLE;Bad Bunny;Bad Bunny;Spotify Charts
Mexico;2026-03-19;20;MIENTRAS DUERMES;Junior H;Junior H;Spotify Charts
Mexico;2026-03-19;21;ni pedo;Peso Pluma, Tito Double P;Peso Pluma;Spotify Charts
Mexico;2026-03-19;22;ganga;Peso Pluma, Tito Double P, El Randal;Peso Pluma;Spotify Charts
Mexico;2026-03-19;23;Canasteo;Régulo Molina, Oscar Maydon, Neton Vega;Régulo Molina;Spotify Charts
Mexico;2026-03-19;24;DtMF;Bad Bunny;Bad Bunny;Spotify Charts
Mexico;2026-03-19;25;Alaska;Victor Mendivil, Hades66;Victor Mendivil;Spotify Charts
Mexico;2026-03-19;26;ANSIEDAD;Fuerza Regida;Fuerza Regida;Spotify Charts
Mexico;2026-03-19;27;COQUETA;Fuerza Regida, Grupo Frontera;Fuerza Regida;Spotify Charts
Mexico;2026-03-19;28;caperuza;Fuerza Regida;Fuerza Regida;Spotify Charts
Mexico;2026-03-19;29;Tus Mentiras (En Vivo);Moy Bobadilla;Moy Bobadilla;Spotify Charts
Mexico;2026-03-19;30;Mi Entorno;Virlan Garcia;Virlan Garcia;Spotify Charts
Mexico;2026-03-19;31;EoO;Bad Bunny;Bad Bunny;Spotify Charts
Mexico;2026-03-19;32;Amor;Emmanuel Cortes;Emmanuel Cortes;Spotify Charts
Mexico;2026-03-19;33;El Final De Nuestra Historia;La Arrolladora Banda El Limón De Rene Camacho;La Arrolladora Banda El Limón De Rene Camacho;Spotify Charts
Mexico;2026-03-19;34;DROGA LETAL;Junior H, Gael Valenzuela, Peso Pluma;Junior H;Spotify Charts
Mexico;2026-03-19;35;LAS NOCHES;Junior H;Junior H;Spotify Charts
Mexico;2026-03-19;36;Y LLORO;Junior H;Junior H;Spotify Charts
Mexico;2026-03-19;37;Perlas Negras;Natanael Cano, Gabito Ballesteros;Natanael Cano;Spotify Charts
Mexico;2026-03-19;38;NUEVAYoL;Bad Bunny;Bad Bunny;Spotify Charts
Mexico;2026-03-19;39;La Ciudad del Sol;Omar Camacho, Oscar Maydon;Omar Camacho;Spotify Charts
Mexico;2026-03-19;40;putielegante;Peso Pluma, Tito Double P;Peso Pluma;Spotify Charts
Mexico;2026-03-19;41;PIÉNSALO;Junior H;Junior H;Spotify Charts
Mexico;2026-03-19;42;Te Amo y Me Amas;Ian Cordova;Ian Cordova;Spotify Charts
Mexico;2026-03-19;43;DEMENCIA;Junior H, Gael Valenzuela;Junior H;Spotify Charts
Mexico;2026-03-19;44;LA CANCIÓN;J Balvin, Bad Bunny;J Balvin;Spotify Charts
Mexico;2026-03-19;45;london;Peso Pluma, Tito Double P, Armenta;Peso Pluma;Spotify Charts
Mexico;2026-03-19;46;Me Rehúso;Danny Ocean;Danny Ocean;Spotify Charts
Mexico;2026-03-19;47;Qué Pasaría...;Rauw Alejandro, Bad Bunny;Rauw Alejandro;Spotify Charts
Mexico;2026-03-19;48;EXCESOS;Fuerza Regida;Fuerza Regida;Spotify Charts
Mexico;2026-03-19;49;Tu Boda;Oscar Maydon, Fuerza Regida;Oscar Maydon;Spotify Charts
Mexico;2026-03-19;50;Extssy Model;Junior H;Junior H;Spotify Charts
