rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
88,"spotify:track:5EJ2THuhAapEIeQOtXUQ0x","Maná","Oye Mi Amor","WM Mexico",57,76,135,"244197"
89,"spotify:track:7MbqAiyl4FtyGwSLjT3g70","Ya Ice Dilan, Rey Tony, Helabusador, JipMusic Global, Dj Honda","Tienes - Remix (Prod. by Dj Honda)","JipMusic Global [Powered by Planet Distribution]",87,90,4,"240050"
90,"spotify:track:77dMSg2VHi2wwXjXNrmcrZ","Paulo Londra, Lenny Tavárez","Nena Maldición (feat. Lenny Tavárez)","WEA Latina",15,87,337,"239943"
91,"spotify:track:059bcIhyc2SBwm6sw2AZzd","Piso 21, Micro TDH","Te Vi","WM Mexico",3,89,359,"239517"
92,"spotify:track:46YjJXVXWHlQ21odKktg5e","Tainy, Bad Bunny","MOJABI GHOST","NEON16, LLC",7,92,143,"239306"
93,"spotify:track:1eWoe7vXCqoYGg5I7OxJtx","Payaso x Ley, Befocus Music, Ernesto Losa, Jeyy Lucas, DJBRADER, Richard Morales Elebbara","Secreto","befocus music",93,113,4,"235781"
94,"spotify:track:5bQLsyTrUaMQRfr6whwGe5","Rauw Alejandro","Aquel Nap ZzZz","Sony Music Latin/Duars Entertainment",15,94,67,"233642"
95,"spotify:track:7ns16ylM6sbxo9ZWIwyE5d","Danny Ocean, Kapo","Imagínate","Atlantic Records",8,88,73,"233473"
96,"spotify:track:35ttE4t8lQZA2vuCYDg4G7","Milo j","M.A.I","DALE PLAY Records",15,101,116,"233249"
97,"spotify:track:2Mgur7BKnpr7OG3izSNFTA","Bryant Myers, Anuel AA, Anonimus, Almighty","Esclava - Remix","Millogang Music Inc., Real Hasta La Muerte LLC, Anonimus Music, La Industria De Los Inmortales",65,95,28,"233007"
98,"spotify:track:2beS6dD5rovBxSA1zYoSHR","JHAYCO, J Balvin, Bad Bunny","No Me Conoce - Remix","N&E Entertainment LLC",3,97,338,"231971"
99,"spotify:track:4SJHHpKhcuXwDsCsPqshXj","Rauw Alejandro, Chencho Corleone","El Efecto","Duars Entertainment, Corp.",24,98,142,"228532"
100,"spotify:track:2QP041AcWg8PwPIWP95RKN","Beéle","top diesel","5020 Records",7,93,45,"227757"
101,"spotify:track:1C7NXX8UJ6pgNx8EkmyZDd","Beéle","si te pillara","5020 Records",3,84,44,"227645"
102,"spotify:track:39L3LdlHS3gqB62HPWaJRg","Bad Bunny","NO ME QUIERO CASAR","Rimas Entertainment LLC",34,100,55,"226317"
103,"spotify:track:6ZHKeoIOkvmYUIfxHLtE2Z","Lewis OfMan, Alicia te quiero","Siesta Freestyle","Profil de Face",103,112,6,"225688"
104,"spotify:track:0nafF9MxcXJBQWv3BTKtdF","KAROL G, Feid","Verano Rosa","Bichota/Interscope Records",11,99,41,"224691"
105,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",49,108,207,"222718"
106,"spotify:track:0h54mLixODOqU6vTcZMqVM","Omar Courtz, ROA","WO OH OH","Rimas Entertainment LLC.",62,119,6,"221540"
107,"spotify:track:6i17Wo1I819E1vDjwSMDDW","Armonía 10 de Walther Lozada","Mi Último Amor","Armonía 10 de Walther Lozada",107,178,2,"220190"
108,"spotify:track:1E3DXXzD4jFpd03DS25av8","Corazón Serrano, Dilbert Aguilar y su Orquesta La Tribu","No te preocupes por mí","G&N MUSIC S.A.C",50,137,33,"220187"
109,"spotify:track:0Sr7ssScx54yxdM2ols7nW","Omar Courtz, De La Rose","Q U E V A S H A C E R H O Y ?","Mr.305 Records / Rimas Entertainment LLC.",1,118,80,"217145"
110,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",4,103,92,"216089"
111,"spotify:track:25ZAibhr3bdlMCLmubZDVt","J Balvin, Bad Bunny","QUE PRETENDES","Universal Music Latino / Rimas",7,115,256,"213966"
112,"spotify:track:5jW3rF4URMdK7tO2xjS5EI","Paulo Londra","Tal Vez","WEA Latina",5,109,285,"212256"
113,"spotify:track:5HCGrYR7g9u2X9Ju83yQLm","Adolescent's Orquesta","Virgen","Korta Records",28,125,265,"211876"
114,"spotify:track:3yJ8buQlPzQtHyCicOGDJ0","Alvaro Diaz","Reina Pepiada","Alvaro Diaz Mexico ICO",112,122,24,"211676"
115,"spotify:track:4DS7HoqrKq1dDjeYOKBlu9","Trap Capos, Noriel, Bad Bunny, Arcángel","De las 2 (feat. Bad Bunny & Arcángel)","Sony Music Latin/Ganda Entertainment",79,106,28,"211480"
116,"spotify:track:6OKhBvddAlWxxFnjbpilhu","Los Enanitos Verdes","La Muralla Verde","Columbia",46,104,146,"210743"
117,"spotify:track:6OaGIYcVzx5c7aEKkuYS1M","Tony Dize, Yandel","Permítame","Pina Records",79,131,32,"208549"
118,"spotify:track:7LABrQFfRYcZUqUwng0Heb","Yandel","Encantadora","Sony Music Latin",55,130,70,"208382"
119,"spotify:track:0myRViRgmQ3J8izICXEAVO","She & Him","I Thought I Saw Your Face Today","Merge Records",94,123,13,"207831"
120,"spotify:track:1pLCpA1RN8avJxSD3ZCwhj","Arcángel","Pa' Que La Pases Bien","Cinq Recordings",63,114,81,"207330"
121,"spotify:track:2SPBFiD8iITb8CKJGz1TEQ","Yan Block","111","SONAR LLC.",47,132,58,"207112"
122,"spotify:track:3VvA1wSxukMLsvXoXtlwWx","Boza","Hecha Pa' Mi","Sony Music Latin",3,107,114,"207029"
123,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",1,110,85,"206914"
124,"spotify:track:5DyBXanPfVphIJVq6c4LhZ","La Bella Luz","Mix Quiero Ser Feliz (Tu Ausencia / Quiero Ser Feliz)","La Bella Luz",70,117,13,"206265"
125,"spotify:track:0Imc5xRXd0eV9Ln55M1kz6","Zion, Jory Boy, Ken-Y","More","Pina Records",23,111,103,"205855"
126,"spotify:track:19CmuECYssqkPWANF4nLWM","La Mosca","Para No Verte Más","EMI Argentina",69,126,181,"205401"
127,"spotify:track:6Xom58OOXk2SoU711L2IXO","Bad Bunny","Moscow Mule","Rimas Entertainment LLC",1,121,198,"203863"
128,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,116,203,"203464"
129,"spotify:track:132ALUzVLmqYB4UsBj5qD6","Paulo Londra","Adan y Eva","WEA Latina",1,134,260,"201055"
130,"spotify:track:0CVPO9XzMCCyfdXZqF4rqB","Grupo Amor Rebelde","Mix Amor Sincero","Grupo Amor Rebelde",130,190,2,"199902"
131,"spotify:track:4PpuZIMmeng6qPicveSI22","Jósean Log","Beso","Jósean Log",123,145,23,"199426"
132,"spotify:track:3ydweVPwq9PCEVJ8WwqT6u","Los Auténticos Decadentes","Loco (Tu Forma De Ser)","RCA Records Label",132,144,8,"199325"
133,"spotify:track:1m69ELEgE6k5ZWsap40ozt","Ozuna","Se Preparó","VP Records Corp/Dimelo Vi",3,129,141,"196959"
