rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
108,"spotify:track:1NPnoibZZyeILxD4mpvfAy","Panda, MJ Records","Um Dia Te Levo Comigo / Do Brasil à Argentina - Ao Vivo","MJ Records.",79,97,23,"1561335"
109,"spotify:track:6II8HGRVkvVUy0uIM4X5Qq","Marina Sena","Lua Cheia","Sony Music Entertainment",81,121,13,"1550333"
110,"spotify:track:4EgmDb4tXeICXOeVnfgd4u","DJ JHOW BEATS, Mc Lindão, MC Menor MT, Resumo Produtora","FAZ 360 E SENTA","WMD Distribuidora",96,96,3,"1542850"
111,"spotify:track:2M6M1f5SVQqamxeyItWZxo","AgroPlay, Ana Castela, CountryBeat","Era Sol Que Me Faltava","Paralogy",11,113,15,"1535832"
112,"spotify:track:6fPALIGFkjmlHKuiiZLRl6","Sotam, Rob","Foi assim","KZN Records",85,114,18,"1529273"
113,"spotify:track:5TKTBDb9p1npApJLuQLd7M","Matuê, BNYX, Azul Wynter, Bryan Yepes","BACKSTAGE","30PRAUM",41,103,16,"1515428"
114,"spotify:track:4tgLMOHoZlWRmEMclryt6T","Oruam, Chefin, Salvador Da Rima, Real Fuba, Elow, Kabeh, Vertigo, NovaChance","Gangstar","MSTT Records",32,93,7,"1515401"
115,"spotify:track:10DHqS0nSXdPwGu1VyjTkR","Felipe e Rodrigo","Caos De Alguém (Ao Vivo)","MK Records",6,105,37,"1500401"
116,"spotify:track:4DAzkOviyivt556hQPKgjQ","MC Willian, DJ Japa NK, DJ DAVI DOGDOG","Valentino","Cria Hit BR",23,119,31,"1491355"
117,"spotify:track:7wfHnTinwOLmYktsMZz3bo","Mc J9, MC Ryan SP, DJ Guh Mix, Mc Don Juan, Mc Negão Original, Mc Alan JR, Menor Richard, Mc IG, DJ Japa NK","Se Eu Ficar Pá Nem Me Testa (feat. Mc Negão Original, Mc Alan JR, Menor Richard, Mc IG & DJ Japa NK)","Bololo Records",117,123,4,"1487299"
118,"spotify:track:0IBCX7PC9NcfFLuyoHxTNt","Zé Neto & Cristiano","Escondendo o Ouro - Ao Vivo","Som Livre",8,117,45,"1487203"
119,"spotify:track:1UvWx2hgpxlF7HPbwLSmIY","O Rappa","Anjos (Pra quem tem fé)","WM Brazil",114,133,18,"1480184"
120,"spotify:track:0dNNhmOSnE6fOcXkNRO3uF","Simone Mendes","Direitos Iguais - Ao Vivo","Universal Music Ltda.",120,-1,1,"1479159"
121,"spotify:track:42AIPMFY5Plqxr4Mw6Bhx9","Henry Freitas","Me Fala Qual Necessidade - Ao Vivo","Sony Music Entertainment",103,172,9,"1476011"
122,"spotify:track:6cx7X0XcCITnhIojf7c36T","CountryBeat, Ana Castela","Quem Que Tá","CountryBeat",74,102,5,"1472807"
123,"spotify:track:4c4tcqYfqiFc527gqNdRE5","Clayton & Romário, Zé Felipe","Se Eu Te Perdoar - Ao Vivo","WM Brazil",6,101,29,"1466418"
124,"spotify:track:6m8AgjfI28ER6odzMxmHtR","Racionais MC's","Vida Loka, Pt. 1","Boogie Naipe",83,148,72,"1460513"
125,"spotify:track:3nI0piSOxAik2RCpHGloB7","Charlie Brown Jr.","Só Os Loucos Sabem","Best",82,145,50,"1455045"
126,"spotify:track:5asabafNzfAzjUecDvuNES","Henrique & Juliano","Aquela Pessoa (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",34,137,218,"1443626"
127,"spotify:track:4l2Fyw7EYB5XjcKwqcwuHQ","DJ Zigão, MC Roger","Tô na Brasilia com o Zigão","MSTT RECORDS",18,125,27,"1423866"
128,"spotify:track:7nVZlsK0RkoUWM9aZh3NBl","Felipe e Rodrigo","Podcast (Ao Vivo)","MK Records",128,-1,1,"1420541"
129,"spotify:track:3u3G8q8xzUv3ujZ59DLKzU","Zezé Di Camargo & Luciano","Sem Medo de Ser Feliz","Columbia",116,151,16,"1419975"
130,"spotify:track:4ZuUJilJAe5MSA8dXHdOXR","MC Tuto, DJ Oreia","2026","Universal Music Ltda.",34,140,14,"1416497"
131,"spotify:track:392sOlpw4k1moGsIvkSqtP","Felipe e Rodrigo","Esquina","MK Records",55,132,10,"1415671"
132,"spotify:track:54TwNxgRorpA9lsStXcv0k","Cristiano Araújo","Caso Indefinido - Ao Vivo","Som Livre",102,111,11,"1408892"
