rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
164,"spotify:track:2F6PBqz7aPA7K309aFKMHt","Cazzu","Con Otra","DALE PLAY Records / RIMAS Entertainment LLC",3,151,54,"36897"
165,"spotify:track:0h54mLixODOqU6vTcZMqVM","Omar Courtz, ROA","WO OH OH","Rimas Entertainment LLC.",82,187,6,"36859"
166,"spotify:track:39L3LdlHS3gqB62HPWaJRg","Bad Bunny","NO ME QUIERO CASAR","Rimas Entertainment LLC",40,170,34,"36753"
167,"spotify:track:3SMBMGIjc5OrasdvWtcNLD","Sangre Cumbiera","La revancha","Yumbrel Corporación",46,180,34,"36675"
168,"spotify:track:132ALUzVLmqYB4UsBj5qD6","Paulo Londra","Adan y Eva","WEA Latina",1,156,218,"36634"
169,"spotify:track:5y2ijHECwFYWqcAHKTZgzD","Bruno Mars","Risk It All","Atlantic Records",76,147,5,"36607"
170,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,160,187,"36589"
171,"spotify:track:1pLCpA1RN8avJxSD3ZCwhj","Arcángel","Pa' Que La Pases Bien","Cinq Recordings",75,165,62,"36562"
172,"spotify:track:1j6xOGusnyXq3l6IryKF3G","Piso 21, Manuel Turizo","Déjala Que Vuelva (feat. Manuel Turizo)","WM Mexico",1,171,344,"36488"
173,"spotify:track:6hpuesKPNa3WhV48O7Fa47","Aitana","SUPERESTRELLA","Universal Music Spain S.L.",173,-1,1,"36290"
174,"spotify:track:5PPYg2Fa1fCkrRBv6vIeeU","De La Rose, Omar Courtz","NUBES","WEA Latina",32,172,50,"36212"
175,"spotify:track:6Xom58OOXk2SoU711L2IXO","Bad Bunny","Moscow Mule","Rimas Entertainment LLC",2,162,146,"36153"
176,"spotify:track:5ApJUoZ4OGBF9FcequqPY5","Luis Vega","El Ultimo Amor","Luis Vega / VHR Music",60,-1,49,"35706"
177,"spotify:track:5osSgKDiyrzhLjsEABO6c9","Young Cister","miau","Sony Music Entertainment Chile S.A",63,164,32,"35684"
178,"spotify:track:4feh4Ak3ZJfC6ibxkNzlkE","Boza, ELENA ROSE","orióN","Sony Music Latin",54,190,63,"35620"
179,"spotify:track:6XXQA6e8qXPJ1sZtRxvbws","La La Love You, Axolotes Mexicanos","El Fin del Mundo","Subterfuge Records distributed by Altafonte",179,197,3,"35396"
180,"spotify:track:4PHX6bpHDxiR9RGzAKWcyk","Enrique Iglesias, Juan Luis Guerra 4.40","Cuando Me Enamoro","Universal Music Group International",81,191,62,"35384"
181,"spotify:track:19CmuECYssqkPWANF4nLWM","La Mosca","Para No Verte Más","EMI Argentina",103,196,98,"35367"
182,"spotify:track:1yoMvmasuxZfqHEipJhRbp","Maluma","Hawái","Sony Music Latin",1,167,265,"35202"
183,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",59,163,184,"35195"
184,"spotify:track:5PycBIeabfvX3n9ILG7Vrv","Romeo Santos","Propuesta Indecente","Sony Music Latin",91,193,64,"34979"
185,"spotify:track:7eNwwoxDR8KVzNAuGvliAO","Omar Courtz, De La Rose, Haze","Kyoto","House of Haze",67,185,80,"34972"
186,"spotify:track:7qjZnBKE73H4Oxkopwulqe","sombr","back to friends","Warner Records",84,154,43,"34773"
187,"spotify:track:2Bhmj4XK33InfhqKPxcJ1v","Aventura","Dile al Amor","Premium Latin Music",102,173,33,"34705"
188,"spotify:track:3VvA1wSxukMLsvXoXtlwWx","Boza","Hecha Pa' Mi","Sony Music Latin",3,161,111,"34633"
189,"spotify:track:6Rz80wUWSUbGGVHvkH7NpU","Milo j, Peso Pluma","UNA BALA","DALE PLAY Records",19,168,35,"34540"
190,"spotify:track:7KA4W4McWYRpgf0fWsJZWB","Tyler, The Creator, Kali Uchis","See You Again (feat. Kali Uchis)","Columbia",102,179,42,"34430"
191,"spotify:track:17I27VXKtqXJHL6ReaG0eS","Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow","Hola - Remix","Rich Music",4,-1,184,"34409"
192,"spotify:track:16iLGYXMiLUhvqTEIu4pKB","Milo j","3 PECADOS DESPUES…","DALE PLAY Records",54,177,45,"34066"
193,"spotify:track:04x1x0L8BYyIv1XlcJxWfi","Tainy, Bad Bunny, Julieta Venegas","Lo Siento BB:/","NEON16, LLC",1,186,126,"34063"
194,"spotify:track:05HpBFLrHBjWpgV0DSPUAv","Marc Seguí, Pol Granch","Tiroteo","WM Spain",94,176,11,"33998"
195,"spotify:track:5u5MvmVtitax9R1Mxh3reC","Ozuna","Dile Que Tu Me Quieres","VP Records Corp/Dimelo Vi",15,188,58,"33990"
196,"spotify:track:7ns16ylM6sbxo9ZWIwyE5d","Danny Ocean, Kapo","Imagínate","Atlantic Records",22,183,71,"33950"
197,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",65,-1,108,"33732"
198,"spotify:track:2JPctdUgvkQSpnUdfROxvY","Alemán, Neton Vega","Te Quería Ver","HOMEGROWN MAFIA S.A. DE C.V./Sony Music México-Latin",4,-1,59,"33642"
199,"spotify:track:0myRViRgmQ3J8izICXEAVO","She & Him","I Thought I Saw Your Face Today","Merge Records",130,194,11,"33422"
200,"spotify:track:1oghNMGW42IhtQPNU6leZz","Omar Courtz","VAMOaCOCHI","Rimas Entertainment LLC.",200,-1,1,"33420"
