Pais;Fecha;Rank;Artista;Canci�n;Peak rank;Semanas en chart;Streams;Fuente
Per�;02-04-2026;35;Omar Courtz;POR SI MA�ANA NO ESTOY;25;6;408250;Spotify Charts
Per�;02-04-2026;36;Bad Bunny;DtMF;1;65;396952;Spotify Charts
Per�;02-04-2026;37;Bad Bunny, Omar Courtz, Dei V;VeLD�;3;65;393109;Spotify Charts
Per�;02-04-2026;38;De La Rose;Yo te conozco :):;34;12;390039;Spotify Charts
Per�;02-04-2026;39;Marc Segu�, Rauw Alejandro, Pol Granch;Tiroteo - Remix;7;249;389665;Spotify Charts
Per�;02-04-2026;40;Dominic Fike;Babydoll;40;4;388952;Spotify Charts
Per�;02-04-2026;41;Maluma;Borro Cassette;13;224;382108;Spotify Charts
Per�;02-04-2026;42;Bad Bunny, Ozuna, Farruko, Arc�ngel, �engo Flow, DJ Luian, Mambo Kingz;Diles;10;278;372206;Spotify Charts
Per�;02-04-2026;43;Be�le, Ovy On The Drums;mi refe;3;68;364026;Spotify Charts
Per�;02-04-2026;44;Zion & Lennox;La player (Bandolera);6;146;363217;Spotify Charts
Per�;02-04-2026;45;Bad Bunny;VOY A LLeVARTE PA PR;2;65;361484;Spotify Charts
Per�;02-04-2026;46;Bad Bunny;KLOuFRENS;9;65;353129;Spotify Charts
Per�;02-04-2026;47;Feid, ATL Jacob;LUNA;1;122;352519;Spotify Charts
Per�;02-04-2026;48;Rauw Alejandro, Bad Bunny;Qu� Pasar�a...;3;72;342499;Spotify Charts
Per�;02-04-2026;49;Milo j, Taiu;Rara Vez;3;164;339680;Spotify Charts
Per�;02-04-2026;50;Mon Laferte, Juanes;Am�rrame;35;127;331061;Spotify Charts
Bolivia;02-04-2026;1;BTS;SWIM;1;2;324878;Spotify Charts
Bolivia;02-04-2026;2;JER�ME, Corona, Mc Tota;SOBERBIO - REMIX;2;3;283783;Spotify Charts
Bolivia;02-04-2026;3;Fuerza Regida, Grupo Frontera;COQUETA;1;58;121235;Spotify Charts
Bolivia;02-04-2026;4;El Bogueto, Yung Beef;Cuando No Era Cantante;1;27;120617;Spotify Charts
Bolivia;02-04-2026;5;BTS;Body to Body;2;2;118949;Spotify Charts
Bolivia;02-04-2026;6;BTS;Like Animals;4;2;110663;Spotify Charts
Bolivia;02-04-2026;7;BTS;Hooligan;5;2;106575;Spotify Charts
Bolivia;02-04-2026;8;Milo j;Ni�o;4;27;102472;Spotify Charts
Bolivia;02-04-2026;9;El Bogueto, Anuel AA, Fuerza Regida, Yung Beef;Cuando No Era Cantante - Remix;4;15;102325;Spotify Charts
Bolivia;02-04-2026;10;BTS;NORMAL;6;2;102233;Spotify Charts
Bolivia;02-04-2026;11;Young Cister, Kreamly;QLOO*;1;44;101656;Spotify Charts
Bolivia;02-04-2026;12;BTS;2.0;10;2;100873;Spotify Charts
Bolivia;02-04-2026;13;BTS;they don�t know �bout us;8;2;100780;Spotify Charts
Bolivia;02-04-2026;14;Bad Bunny;BAILE INoLVIDABLE;1;65;100658;Spotify Charts
Bolivia;02-04-2026;15;Omar Courtz;KOKO;15;6;98893;Spotify Charts
Bolivia;02-04-2026;16;BTS;FYA;7;2;97954;Spotify Charts
Bolivia;02-04-2026;17;BTS;Aliens;9;2;95179;Spotify Charts
Bolivia;02-04-2026;18;Plan B;Es un Secreto;6;235;93404;Spotify Charts
Bolivia;02-04-2026;19;BTS;Merry Go Round;11;2;90640;Spotify Charts
Bolivia;02-04-2026;20;Danny Ocean;Me Reh�so;1;484;90076;Spotify Charts
Bolivia;02-04-2026;21;Rels B;TU VAS SIN (fav);1;39;88735;Spotify Charts
Bolivia;02-04-2026;22;De La Rose;Yo te conozco :):;12;9;88373;Spotify Charts
Bolivia;02-04-2026;23;Ryan Castro, Kapo, Gangsta;LA VILLA;3;15;87650;Spotify Charts
Bolivia;02-04-2026;24;Mon Laferte, Juanes;Am�rrame;9;71;87303;Spotify Charts
Bolivia;02-04-2026;25;BTS;Please;13;2;86229;Spotify Charts
Bolivia;02-04-2026;26;Luis Vega, Bonny Lovy, Corona;MI DEBILIDAD;15;55;84355;Spotify Charts
Bolivia;02-04-2026;27;Dominic Fike;Babydoll;27;4;84295;Spotify Charts
Bolivia;02-04-2026;28;BTS;One More Night;14;2;83851;Spotify Charts
Bolivia;02-04-2026;29;Maluma;Borro Cassette;17;219;82373;Spotify Charts
Bolivia;02-04-2026;30;Lauta, Amigo de Artistas, Tote;Pu�aladas;30;6;82199;Spotify Charts
Bolivia;02-04-2026;31;BTS;Into the Sun;15;2;81920;Spotify Charts
Bolivia;02-04-2026;32;Romeo Santos, Prince Royce;Dardos;11;17;81319;Spotify Charts
Bolivia;02-04-2026;33;Milo j, Taiu;Rara Vez;3;164;80550;Spotify Charts
Bolivia;02-04-2026;34;Luis Vega;Insuperable;7;38;79966;Spotify Charts
Bolivia;02-04-2026;35;J Balvin, Bad Bunny;LA CANCI�N;2;353;79681;Spotify Charts
Bolivia;02-04-2026;36;Grupo Histeria;Chiquitita;27;7;78980;Spotify Charts
Bolivia;02-04-2026;37;BTS;No. 29;16;2;78486;Spotify Charts
Bolivia;02-04-2026;38;Be�le;no tiene sentido;2;46;77990;Spotify Charts
Bolivia;02-04-2026;39;Milo j, Trueno;Gil;14;27;77968;Spotify Charts
Bolivia;02-04-2026;40;Emmanuel Cortes;Amor;24;75;76553;Spotify Charts
Bolivia;02-04-2026;41;Bad Bunny;DtMF;1;65;76408;Spotify Charts
Bolivia;02-04-2026;42;Marc Segu�, Rauw Alejandro, Pol Granch;Tiroteo - Remix;11;223;75655;Spotify Charts
Bolivia;02-04-2026;43;Luis Vega;Bailando Conmigo;8;156;73590;Spotify Charts
Bolivia;02-04-2026;44;Corona;M�S MONEY, M�S CASH;28;14;72399;Spotify Charts
Bolivia;02-04-2026;45;Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA;YOGURCITO REMIX (feat. Kris R., ROA);6;31;72383;Spotify Charts
Bolivia;02-04-2026;46;W Sound, Be�le, Ovy On The Drums;La Plena - W Sound 05;1;58;72137;Spotify Charts
Bolivia;02-04-2026;47;Bad Bunny;EoO;5;65;71646;Spotify Charts
Bolivia;02-04-2026;48;Rauw Alejandro, Bad Bunny;Qu� Pasar�a...;2;72;70036;Spotify Charts
Bolivia;02-04-2026;49;Lu de la Tower, Corona;ERROR 403;22;119;69447;Spotify Charts
