rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
119,"spotify:track:3QwBODjSEzelZyVjxPOHdq","Zion & Lennox, J Balvin","Otra Vez (feat. J Balvin)","WEA Latina",1,135,302,"448981"
120,"spotify:track:73scB4Q4fcOmnsBVZPmk32","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",1,127,91,"447210"
121,"spotify:track:6829KtrgNt2ZwrsE19nTEd","Yeison Jimenez","Ni Tengo Ni Necesito","Vibras Lab - Fonovisa",18,120,10,"444967"
122,"spotify:track:5PB1ITleNasy7UMYEaBWkL","Yeison Jimenez","Qué Día Es Hoy","YJ COMPANY",23,132,10,"444609"
123,"spotify:track:7qbPQqOYYMPdQqRqv7bNin","Yeison Jimenez","Ya No Mi Amor","YJ COMPANY",9,116,18,"444529"
124,"spotify:track:0FsXZAMf6NACvNJ2LI6ySp","Frankie Ruiz","Deseándote","flyMusic Producciones",90,125,163,"442503"
125,"spotify:track:10B0cONtHL7b8hdMRE2Du6","Blessd, Anuel AA, Kris R., Young Fatty, CARABIN3, GeezyDee, TURY","BUENOS DIAS (feat. Tury, GeezyDee, CARABIN3)","WEA Latina",8,101,19,"442191"
126,"spotify:track:5QDLhrAOJJdNAmCTJ8xMyW","BTS","Dynamite","BIGHIT MUSIC",20,165,73,"439467"
127,"spotify:track:5ds1Hh3lo4JUF2vflqyayK","Yiyo Sarante","Manos de Tijera","TranKYouTV",65,121,80,"435485"
128,"spotify:track:7LABrQFfRYcZUqUwng0Heb","Yandel","Encantadora","Sony Music Latin",39,136,92,"430939"
129,"spotify:track:73BrH4q0vUdhT34uK9j98O","Luister La Voz","Las Cartas","Universal Music Colombia S.A.S.",126,141,22,"426321"
130,"spotify:track:1a7onn7lPqqRWul5ogyMyX","Fuerza Regida","ANSIEDAD","Rancho Humilde/Street Mob Records/Sony Music Latin",75,154,28,"426137"
131,"spotify:track:6NSMQFKgjpQb0KkjMDYIK0","Arcángel, Bad Bunny, Mambo Kingz, DJ Luian","Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","Hear This Music",64,105,208,"424237"
132,"spotify:track:34vXRJ2bCSFiZKQzVUYVOb","Grupo Frontera, Grupo Firme","EL AMOR DE SU VIDA","BorderTown Records",28,123,94,"424059"
133,"spotify:track:2ROj8GoI45RQouYomaLDTm","GeezyDee, Kris R.","Parche Tranqui","24K Records",52,163,24,"422780"
134,"spotify:track:0h54mLixODOqU6vTcZMqVM","Omar Courtz, ROA","WO OH OH","Rimas Entertainment LLC.",75,96,4,"420267"
135,"spotify:track:27ze5t5tIDPlVits0KRbxT","Aventura","El Perdedor","Premium Latin Music",42,151,79,"418377"
136,"spotify:track:4Udf3NPZZVggwmVXHcjuqA","Yeison Jimenez","El Mejor Caballo","YJ COMPANY",20,131,10,"418067"
137,"spotify:track:2tKVinInf0PJS1iG04zzqi","Blessd, Sebastian Ledher, Tayson Kryss, Joseph Ren","UNA NOCHE DE LOCURA","WEA Latina",10,129,43,"415116"
138,"spotify:track:5hWpXZOs7vpz0JD3CIylsb","ROA","FANTASÍA","Universal Music Latino",77,158,46,"414650"
139,"spotify:track:47sQ0h1xhlDWJ3nHbwYPrg","Hades66","YO QUIERO","Sonar LLC.",54,54,3,"414495"
140,"spotify:track:3EK4tGkSiO5xvvB5sM4tln","Mon Laferte, Juanes","Amárrame","Universal Music Mexico",140,162,2,"413743"
141,"spotify:track:5sMHuOIvtsSuFZafTcF19Q","Pipe Bueno, Jessi Uribe, Yeison Jimenez, Carín León, Alzate, Darío Gómez, Luis Alberto Posada, El Charrito Negro, Jhonny Rivera, Jhon Alex Castaño, Juan Pablo Navarrete","Guaro (Remix)","Pipe Bueno",15,139,87,"413585"
142,"spotify:track:5iwgEFKEktjBBZV3C9TTZj","Willie Colón","Idilio","Sony Tropical",22,143,15,"413371"
143,"spotify:track:7hYlC6s0SXSIwtFlW6NgjT","W Sound, Myke Towers, Ovy On The Drums","5 Estrellas - W Sound 23","WEA Latina",29,114,6,"411612"
144,"spotify:track:4skuEIloXWuxxgekKupkEH","Mon Laferte","Tu Falta De Querer","Universal Music Mexico",90,156,41,"411534"
145,"spotify:track:5SudOD9R1Of6CsJVWZy6CQ","Romeo Santos, Prince Royce","Dardos","Sony Music Latin",98,126,11,"409957"
146,"spotify:track:1nDvFYTsaQwxt5CTk7LJ5E","Yeison Jimenez, Pasabordo","Hasta La Madre","Yeison Jimenez",20,140,45,"409775"
147,"spotify:track:4ATzrqMF84B9iSCGUUqfTT","Topboy TGR, Kzadores","MÁS DE AHÍ","Topboy TGR, Slowrecords",38,99,19,"409223"
148,"spotify:track:1i1n7hUzCDkXGFqIJSSzom","Beéle","frente al mar","5020 Records",13,147,77,"408743"
149,"spotify:track:4MjDJD8cW7iVeWInc2Bdyj","Bad Bunny","MONACO","Rimas Entertainment LLC",2,119,45,"408525"
150,"spotify:track:1LNLFgc99bgCWPAaJ9zUQi","Yeison Jimenez","Tu Mal Sabor","YJ COMPANY",71,155,10,"407786"
151,"spotify:track:1dAQ93kw8Sy9n4JCz2G9Nf","Alexis y Fido, Arcángel, De La Ghetto","Camuflaje (Remix)","Wild Dogz Music",119,128,18,"406119"
152,"spotify:track:69Ej1xrGjOcHvIMtMKxK0G","Don Omar","Dile","UMLE - Machete",22,164,280,"401182"
153,"spotify:track:34Ud1AaXdNQZuJo0Krgs9O","Kris R., Noriel, Hanzel La H, Neutro Shorty","VVS1","WEA Latina",153,-1,1,"401163"
154,"spotify:track:4py8x8qXCOTi0Rrm4NbCTK","Ryan Castro, Blessd","LEJANIA","Ace Records",56,124,77,"397736"
155,"spotify:track:2n1MTLCis6qPSDKdr5XSDI","Willie Colón","Oh Qué Será?","Fania",36,160,4,"397277"
156,"spotify:track:5u4XWSNpF4wE6W6i78Uf1B","Rayo & Toby","Movimiento de Caderas","SUENA Music Management",22,137,50,"397137"
157,"spotify:track:5YJ4BVvTFmVCxUyhKejHfR","Tego Calderón","Pa' Que Retozen","Jiggiri Records, Inc.",18,149,273,"395786"
158,"spotify:track:21nc3O8OncUv1jjSrC1ML2","Yiyo Sarante","Corazon de Acero","TranKYouTV",52,134,197,"394647"
159,"spotify:track:74t17BRV4el0mU0Tb8XY1k","YOVNGCHIMI, JC Reyes","MVLAN","Glizzy Gvng Inc. / Roc Nation Distribution",146,146,2,"394541"
160,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",37,-1,35,"394443"
161,"spotify:track:4j6i1y0Dc7UquHtXQ2tRB2","Kris R., Métricas Frías, Mañas Ru-Fino, Doble Porcion","ÚLTIMO SHOW","WEA Latina",161,-1,1,"393280"
162,"spotify:track:0ftcn4ddKESqQMA784Ebc0","Yeison Jimenez","Aventurero","Sony Music Entertainment",13,142,85,"389314"
163,"spotify:track:7xDwU3I38ReireLvv79h63","Grupo Niche","Sin Sentimientos","Sony Music Latin",44,159,189,"388107"
164,"spotify:track:2HbmLkHkkI15eES8kpWRuI","Los Hijos De Puerto Rico","Separados","CM ANGEL (A91)",59,173,101,"388076"
165,"spotify:track:6jbDhMUR3Hc3yVPT2tEVxY","Yeison Jimenez","Te Voy a Olvidar","YJ COMPANY",86,145,10,"384739"
166,"spotify:track:4eDjNcAyIuJFhQ31Fvvoc1","J Alvarez, Ñejo & Dalmata","Sexo, Sudor y Calor","On Top of the World Music",83,172,221,"384138"
167,"spotify:track:5GTBdEjZe7zEDp1N0eCZE4","Peso Pluma, Estevan Plazola","HOLLYWOOD","2024 Double P Records",70,150,56,"383305"
168,"spotify:track:2lGGv17kLfOrdVzNFzuQWM","El Americano 4KT, Tony Monta","WELCOME","El Americano 4KT",144,157,7,"382583"
169,"spotify:track:2Bhmj4XK33InfhqKPxcJ1v","Aventura","Dile al Amor","Premium Latin Music",64,153,82,"378008"
170,"spotify:track:5dDlknAL9imbXXl7uG7oqe","Omar Courtz","⁠LUCES DE COLORES","Mr.305 Records / Rimas Entertainment LLC.",158,167,12,"377169"
171,"spotify:track:6v5qt5KPQHJt5ckWuhDGtM","Victor Valverde, JR Torres","El Mayor De Los Ranas","Vim Music",47,180,54,"376502"
172,"spotify:track:7zwgHkTKv86nMOREN5k1hx","Clarent","BIENVENIDA","WEA Latina",141,144,6,"375357"
173,"spotify:track:7CGUgOBXrfaXXvY73GzOXE","Lil Naay","UNA BABY EN SANTIAGO","1844",173,-1,1,"374456"
174,"spotify:track:4dyzxv5SsdBtunuU3qj7Ti","Fresto Music","Me Hace Daño Verte","Codiscos",30,174,188,"372565"
175,"spotify:track:7yHZ66udwjeUafGohI7T46","ARIA VEGA","AY MAMA (mi tiburón)","Plush Records",61,130,7,"371768"
176,"spotify:track:0BenZn1xELuxhb7Pjwyjxv","Don Omar, Plan B","Hooka","UMLE - Machete",84,-1,201,"371736"
177,"spotify:track:7hynhxDoDpgMIV12JuVtNa","J Balvin, Bad Bunny, Marciano Cantero","UN PESO","Universal Music Latino / Rimas",18,152,323,"371429"
178,"spotify:track:2gmd7lY3QSzLh0xIY4cRvi","Maisak, Feid","SE ME OLVIDA","Universal Music Latino",3,-1,79,"369886"
179,"spotify:track:3UJN0IUZIeXnrmo48e6XXx","El Americano 4KT, THE FAVORITES","MAMAXITA","THE FAVORITES",109,138,11,"369336"
180,"spotify:track:2dd3G3ZqEcG2cNS1tp3oEk","Alleh, Yorghaki","capaz (merengueton)","La Ciudad",17,168,67,"369115"
181,"spotify:track:3eIvjtwoYC16ElxYE6ph7J","Ele A El Dominio","Hace Mucho Tiempo","InnerCat Music Group, LLC",68,133,90,"367941"
