rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
142,"spotify:track:34vXRJ2bCSFiZKQzVUYVOb","Grupo Frontera, Grupo Firme","EL AMOR DE SU VIDA","BorderTown Records",28,143,97,"373494"
143,"spotify:track:3plyGpDgzfrnZbpElpfioV","BTS","No. 29","BIGHIT MUSIC",46,110,3,"364832"
144,"spotify:track:2ROj8GoI45RQouYomaLDTm","GeezyDee, Kris R.","Parche Tranqui","24K Records",52,151,27,"364620"
145,"spotify:track:1C7NXX8UJ6pgNx8EkmyZDd","Beéle","si te pillara","5020 Records",6,147,46,"363837"
146,"spotify:track:4Udf3NPZZVggwmVXHcjuqA","Yeison Jimenez","El Mejor Caballo","YJ COMPANY",20,150,13,"363489"
147,"spotify:track:7LABrQFfRYcZUqUwng0Heb","Yandel","Encantadora","Sony Music Latin",39,118,95,"361351"
148,"spotify:track:7xDwU3I38ReireLvv79h63","Grupo Niche","Sin Sentimientos","Sony Music Latin",44,152,192,"359242"
149,"spotify:track:5hWpXZOs7vpz0JD3CIylsb","ROA","FANTASÍA","Universal Music Latino",77,157,49,"358564"
150,"spotify:track:0FsXZAMf6NACvNJ2LI6ySp","Frankie Ruiz","Deseándote","UMLE - Latino",90,134,166,"358281"
151,"spotify:track:1i1n7hUzCDkXGFqIJSSzom","Beéle","frente al mar","5020 Records",13,165,80,"355829"
152,"spotify:track:5GTBdEjZe7zEDp1N0eCZE4","Peso Pluma, Estevan Plazola","HOLLYWOOD","2024 Double P Records",70,164,59,"355372"
153,"spotify:track:7qbPQqOYYMPdQqRqv7bNin","Yeison Jimenez","Ya No Mi Amor","YJ COMPANY",9,135,21,"353323"
154,"spotify:track:3f4AsGGYt94t7g1lHcsa8D","Alzate, Yeison Jimenez","Mi Venganza","Desde Abajo Records",11,126,67,"350984"
155,"spotify:track:4skuEIloXWuxxgekKupkEH","Mon Laferte","Tu Falta De Querer","Universal Music Mexico",90,167,44,"350827"
156,"spotify:track:7vG1MXouw92YxaO7ALCS0L","Feid","El Hexxo","Universal Music Latino/ Grabaciones Los Poderosos",74,138,3,"348804"
157,"spotify:track:4dyzxv5SsdBtunuU3qj7Ti","Fresto Music","Me Hace Daño Verte","Codiscos",30,184,191,"348124"
158,"spotify:track:6NSMQFKgjpQb0KkjMDYIK0","Arcángel, Bad Bunny, Mambo Kingz, DJ Luian","Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","Hear This Music",64,179,211,"345125"
159,"spotify:track:72q1JMsCJbKNbWgzipGi6x","Yeison Maje, Ciro Quiñonez, Luis Alfonso, Yeison Jimenez","El Embustero RMX","Marsal Music",40,119,13,"344739"
160,"spotify:track:0sOrHE0vkEhrmWZnhqjP36","Blessd, Hades66, Blackinny, Young Fatty","MAS QUE AMIGOS","WEA Latina",49,168,44,"344729"
161,"spotify:track:482PEx8hfMHSsuGtHd960A","Kapo","OHNANA","Sony Music Latin/La Industria",3,144,95,"343773"
162,"spotify:track:4Kprdu7yqi4BRkDmxw1UOx","Luister La Voz","El Capataz","El Grupo B",162,188,2,"343244"
163,"spotify:track:3eIvjtwoYC16ElxYE6ph7J","Ele A El Dominio","Hace Mucho Tiempo","InnerCat Music Group, LLC",68,199,93,"342865"
164,"spotify:track:69Ej1xrGjOcHvIMtMKxK0G","Don Omar","Dile","UMLE - Machete",22,154,283,"341153"
165,"spotify:track:27ze5t5tIDPlVits0KRbxT","Aventura","El Perdedor","Premium Latin Music",42,178,82,"340384"
166,"spotify:track:2lGGv17kLfOrdVzNFzuQWM","El Americano 4KT, Tony Monta","WELCOME","El Americano 4KT",144,177,10,"339604"
167,"spotify:track:3EK4tGkSiO5xvvB5sM4tln","Mon Laferte, Juanes","Amárrame","Universal Music Mexico",140,183,5,"337353"
