rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
190,"spotify:track:1ExjoMeJQxAYtHFke6eW31","HUGEL, SOLTO (FR)","Jamaican (Bam Bam)","MoBlack Records",190,196,2,"347677"
191,"spotify:track:6XehLOzB6wIt9lY9FlcOaM","Lali, Miranda!","MEJOR QUE VOS","Sony Music Argentina",10,179,52,"346697"
192,"spotify:track:21cPb84RhAWCzp0wIUGPlk","Ozuna, Beéle, Ovy On The Drums","Enemigos","Nibiru International/Sony Music Latin",23,51,5,"346616"
193,"spotify:track:2Mgur7BKnpr7OG3izSNFTA","Bryant Myers, Anuel AA, Anonimus, Almighty","Esclava - Remix","Millogang Music Inc., Real Hasta La Muerte LLC, Anonimus Music, La Industria De Los Inmortales",170,-1,7,"346347"
194,"spotify:track:1K11lq4qn0DdPfljQcHkNE","Yami Safdie, Luck Ra, Q' Lokura","En Otra Vida - Versión Cuarteto","WM Chile",21,181,48,"345968"
195,"spotify:track:4R3N5ih3Sht7y25hpdtAGn","Lucauy, Valentino, Miqueas Tabor","WHISCOLA","Vibes Co. bajo licencia de NextGenTalent S.A",195,-1,1,"345286"
196,"spotify:track:4CKdiDYtwalbVAYpyg3Ju5","Cumbia rocha","Suena en la Previa, Vol. 4","cumbia rocha",196,-1,1,"344754"
197,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,-1,85,"344333"
198,"spotify:track:2NMjggapJcXXM7WccGEBUO","Bad Bunny","Enséñame a Bailar","Rimas Entertainment LLC",49,-1,14,"343262"
199,"spotify:track:0SoBfYjQHvL6cuWHtPUYnq","Valentino Merlo, The La Planta","Hoy","TLP Records",1,192,75,"342140"
200,"spotify:track:2WD9ggmpZE7Wodh3qVVCgg","Soda Stereo","De Música Ligera - Remasterizado 2007","Columbia",100,-1,151,"341190"
