rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
71;spotify:track:6r46lnXFbE9fr2d3KNaGbe;Romeo Santos;Imitadora;Sony Music Latin;29;135;101;481212
72;spotify:track:623kbEIDhzRFLVk1r8cBTm;W Sound, Cris MJ, Ovy On The Drums;Chica Galáctica - W Sound 07;WEA Latina;72;-1;1;478538
73;spotify:track:281YJmnThveWjsWVic9Ym6;Kris R., Blessd;Las Piponas (Remix);La K Company SAS;3;54;62;477123
74;spotify:track:2ALQyXMC26Vew7JX7ert9M;Blessd, Kris R.;POLOS OPUESTOS REMIX - BLESSD VERSION;WEA Latina;3;52;61;475773
75;spotify:track:1KiI7qXgmqlX0KzK4f985q;Tony Monta, Pirlo, Topboy TGR, DFZM, Akapellah;Un Dia En Mi Barrio - Remix;SLOW RECORDS;36;36;3;473760
76;spotify:track:51PN9C6MlZbHLYWzEYaXff;Rodolfo Aicardi, Los Hispanos;Adonay;Discos Fuentes Edimúsica S.A.S.;31;-1;30;461821
77;spotify:track:3ClyThLf2bguwdMcm7hqZ2;Kris R., Blessd;COSITAS;WEA Latina;16;40;17;461468
78;spotify:track:0akaZYAc94xnVRKpuP2Lvt;Blessd, Kris R.;JOKER;WEA Latina;12;64;28;461008
79;spotify:track:5U4Xk6PQlNtj4s74CIYmi1;Los Corraleros De Majagual, Calixto Ochoa;Los Sabanales;Discos Fuentes Edimúsica S.A.S.;26;-1;31;455452
80;spotify:track:7d6yK8v8J484SWH5prIQiE;Bad Bunny, Omar Courtz, Dei V;VeLDÁ;Rimas Entertainment LLC.;5;95;48;453775
81;spotify:track:21nc3O8OncUv1jjSrC1ML2;Yiyo Sarante;Corazon de Acero;TranKYouTV;52;76;182;452101
82;spotify:track:21cPb84RhAWCzp0wIUGPlk;Ozuna, Beéle, Ovy On The Drums;Enemigos;Nibiru International/Sony Music Latin;82;164;2;448524
83;spotify:track:3hpm0fTeSqlhJbnqAgaLZs;Fuerza Regida;Marlboro Rojo;Rancho Humilde/Street Mob Records/Sony Music Latin;42;87;20;447215
84;spotify:track:3GhmL9fuM8jwGcHCFbeo3v;Arcángel;Me Prefieres A Mi;Vida Music;42;111;106;444936
85;spotify:track:6Sv0CzVqzydd7NYQgAG70c;KAROL G;Ivonny Bonita;Bichota/Interscope Records;8;68;24;444655
86;spotify:track:3YSkiK0JAaWvZVh0rFa3ja;Ryan Castro;Ojalá;AWOO Corp./Sony Music Latin;19;63;30;443280
87;spotify:track:2J9B63FawlTaPdg4eH5X03;Beéle;Loco;Hear This Music;3;113;191;442504
88;spotify:track:6OaGIYcVzx5c7aEKkuYS1M;Tony Dize, Yandel;Permítame;Pina Records;59;88;191;440370
89;spotify:track:4wu7jIeJCUhQJaXsXVit0e;Blessd;Palabras Sobran;WEA Latina;23;60;102;438283
90;spotify:track:73scB4Q4fcOmnsBVZPmk32;KAROL G;Si Antes Te Hubiera Conocido;Bichota/Interscope Records;1;74;76;437324
91;spotify:track:6AVPrH4OGxRf0knkiYw4yx;Rodolfo Aicardi, Los Hispanos;Boquita De Caramelo;Discos Fuentes Edimúsica S.A.S.;87;-1;11;436427
92;spotify:track:4TFjpINnVhINpTdrtNQIvx;Kapo, Feid;X TI;Sony Music Latin/La Industria;19;80;22;435974
93;spotify:track:2Bhmj4XK33InfhqKPxcJ1v;Aventura;Dile al Amor;Premium Latin Music;64;130;67;435612
94;spotify:track:2gmd7lY3QSzLh0xIY4cRvi;Maisak, Feid;SE ME OLVIDA;Universal Music Latino;3;99;67;434676
95;spotify:track:4oVO4fGNRRvEn0CRuFO4qv;ROSALÍA, Yahritza Y Su Esencia;La Perla;Columbia;73;73;4;434275
96;spotify:track:5HCk7iruzhQ1FbxyS3igmM;La Combinación Vallenata, Jean Carlos Centeno;Ayer Y Hoy;Codiscos;96;114;14;433293
97;spotify:track:6I86RF3odBlcuZA9Vfjzeq;Romeo Santos;Eres Mía;Sony Music Latin;65;144;44;433113
98;spotify:track:5hiHDuJOcBmB8wguFDPFjD;Frankie Ruiz;Deseándote;UMLE - Latino;91;91;148;431253
99;spotify:track:61C7zXd4t2Zuhz6DRwgsLM;Piso 21, Marc Anthony, Beéle;Volver;WM Mexico;10;178;43;428835
100;spotify:track:6eLQXa6uk2EW8drsiKbABZ;Fuerza Regida;TU SANCHO;Rancho Humilde/Street Mob Records/Sony Music Latin;37;107;21;427612
101;spotify:track:66lBoE29sIExNXrntTuvFw;Blessd, Kris R., Young Fatty, TURY, CARABIN3, GeezyDee;BOQUISUCIO (feat. GeezyDee, CARABIN3);WEA Latina;20;78;4;425139
102;spotify:track:0zDO5avDZSXRwWzfuguIRb;La Dimensión Latina, Oscar D'León;Llorarás;Musart-Balboa;31;108;284;421602
103;spotify:track:6J5kc12BW5HuP3d7C3vvx8;Bad Bunny;EoO;Rimas Entertainment LLC.;7;118;48;419684
104;spotify:track:0JY2QXSvlpA8DZwgaAYWlY;Miguel Bueno, Juan Duque;Solcito;Sony Music Latin;4;97;38;419116
105;spotify:track:1j4XwpoLvqdkWllikDu7Rm;Luis Alberto Posada;Mal Amor;Luis Alberto Posada;105;183;5;418710
106;spotify:track:0a0JiZejbYYem1W31fldde;Ñengo Flow;En Las Noches Frias;Real G 4 Life;104;150;36;414040
107;spotify:track:2HbmLkHkkI15eES8kpWRuI;Los Hijos De Puerto Rico;Separados;CM ANGEL (A91);59;103;87;413595
108;spotify:track:0OTtnwUO8natNWSwdZvXVF;Ovy On The Drums, Beéle;Inolvidable;WEA Latina;56;83;68;412997
109;spotify:track:6sRQjwLPdzADXhgZeKy6PQ;Frankie Ruiz;Tú Con Él;UMLE - Latino;44;149;182;412685
110;spotify:track:4ZGk5h0sIfeunWEKzXEoHr;Tito Rojas;Siempre Sere;Musical Productions;106;106;40;412553
111;spotify:track:5GTBdEjZe7zEDp1N0eCZE4;Peso Pluma, Estevan Plazola;HOLLYWOOD;2024 Double P Records;70;100;41;409590
112;spotify:track:0oGgA6xKoEEZNHY4BzECTH;Jombriel, DFZM, Jøtta;VITAMINA;WEA Latina;2;110;40;407462
113;spotify:track:08iYm4UIni9LMVqfTgS4Nr;Pastor Lopez Y Su Combo;El Ausente;YOYO USA Digital;35;-1;21;406614
114;spotify:track:2uPMsTEKx79gJ8rB3AcT0v;Bizarrap, Daddy Yankee;Daddy Yankee: Bzrp Music Sessions, Vol. 0/66;DALE PLAY Records;17;61;4;405504
115;spotify:track:0EFxJw34fK8DWlTxx9qYeW;Blessd;Instagram;WEA Latina;2;72;179;400731
116;spotify:track:4DnrAI8WyUY6gkOwl8GlPN;Alleh, Yorghaki;capaz (merengueton);La Ciudad;17;109;52;399715
117;spotify:track:3eIvjtwoYC16ElxYE6ph7J;Ele A El Dominio;Hace Mucho Tiempo;InnerCat Music Group, LLC;68;194;77;399628
118;spotify:track:71w26UK674tLfGtJFfDSjE;Arcángel;Ganas De Ti;Cinq Recordings;81;81;45;397639
119;spotify:track:3WqqkPBdf1nzxbLJUpyZks;Rodolfo Aicardi, Los Hispanos;Daniela;Discos Fuentes Edimúsica S.A.S.;35;-1;21;397420
120;spotify:track:1B1maIpcMpPDZ8GT0WHT0V;KAROL G;Milagros;Bichota/Interscope Records;5;79;30;395293
