pais,fecha,mes_muestra,rank,artist_names,artist_01,artist_02,artist_03,artist_04,artist_05,artist_06,artist_07,artist_08,artist_09,artist_10,nacionalidad_01,nacionalidad_02,nacionalidad_03,nacionalidad_04,nacionalidad_05,nacionalidad_06,nacionalidad_07,nacionalidad_08,nacionalidad_09,nacionalidad_10,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
Colombia,2025/11/06,noviembre_2025,20,Kris R.,Kris R.,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,LOS CACORROS USAN KLEIMOND,WEA Latina,4,29,6,796727
Colombia,2025/11/06,noviembre_2025,21,"Kris R., GeezyDee, Prodmonja",Kris R.,GeezyDee,Prodmonja,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,BOBADITA,WEA Latina,21,-1,1,786065
Colombia,2025/11/06,noviembre_2025,22,Beéle,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,si te pillara,5020 Records,6,15,24,773267
Colombia,2025/11/06,noviembre_2025,23,"Blessd, Ovy On The Drums",Blessd,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,Mírame,WEA Latina,1,23,81,756169
Colombia,2025/11/06,noviembre_2025,24,"Blessd, Los Money Makers, Prodmonja",Blessd,Los Money Makers,Prodmonja,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,URUS BLUE,WEA Latina,22,22,23,745936
Colombia,2025/11/06,noviembre_2025,25,"Yan Block, Panda Black",Yan Block,Panda Black,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,444,SONAR LLC.,25,37,68,737868
Colombia,2025/11/06,noviembre_2025,26,Kapo,Kapo,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,UWAIE,Sony Music Latin/La Industria,1,33,64,729310
Colombia,2025/11/06,noviembre_2025,27,Plan B,Plan B,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,Es un Secreto,Pina Records,18,30,249,709589
Colombia,2025/11/06,noviembre_2025,28,"Kris R., Blessd",Kris R.,Blessd,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,COSITAS,WEA Latina,16,24,13,695545
Colombia,2025/11/06,noviembre_2025,29,Rels B,Rels B,NA,NA,NA,NA,NA,NA,NA,NA,NA,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,TU VAS SIN (fav),DALE PLAY Records / Flakk Team,14,34,18,687879
Colombia,2025/11/06,noviembre_2025,30,"Rauw Alejandro, Bad Bunny",Rauw Alejandro,Bad Bunny,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,Qué Pasaría...,Sony Music Latin/Duars Entertainment,11,26,51,686947
Colombia,2025/11/06,noviembre_2025,31,"Fuerza Regida, Grupo Frontera",Fuerza Regida,Grupo Frontera,NA,NA,NA,NA,NA,NA,NA,NA,Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,COQUETA,Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin,19,38,27,669028
Colombia,2025/11/06,noviembre_2025,32,"Feid, ATL Jacob",Feid,ATL Jacob,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,NA,LUNA,UMLE - Latino,1,36,101,668879
Colombia,2025/11/06,noviembre_2025,33,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",KAROL G,Feid,DFZM,Ovy On The Drums,J Balvin,Maluma,Ryan Castro,Blessd,NA,NA,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,NA,NA,57,Bichota/Interscope Records,1,41,52,663225
Colombia,2025/11/06,noviembre_2025,34,"Yan Block, De La Rose, Hades66, Ñengo Flow",Yan Block,De La Rose,Hades66,Ñengo Flow,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,444 - Remix,SONAR LLC.,34,-1,1,657119
Colombia,2025/11/06,noviembre_2025,35,"Tony Dize, Plan B",Tony Dize,Plan B,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,Solos,Pina Records,29,31,160,653601
Colombia,2025/11/06,noviembre_2025,36,Grupo Firme,Grupo Firme,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,El Beneficio De La Duda,Music VIP Entertainment Presenta Grupo Firme,36,44,37,647501
Colombia,2025/11/06,noviembre_2025,37,"Héctor ""El Father"", Wisin & Yandel","Héctor ""El Father""",Wisin & Yandel,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,El Teléfono,Machete Music,37,46,14,641825
Colombia,2025/11/06,noviembre_2025,38,"Nicky Jam, Beéle",Nicky Jam,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,Estados Unidos,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,Hiekka,Nicky Jam,1,13,27,636815
Colombia,2025/11/06,noviembre_2025,39,"Blessd, Los Money Makers, Prodmonja",Blessd,Los Money Makers,Prodmonja,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NUEVA YORK,WEA Latina,39,40,23,633313
Colombia,2025/11/06,noviembre_2025,40,"Luar La L, ROA, Blessd",Luar La L,ROA,Blessd,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,Colombia,NA,NA,NA,NA,NA,NA,NA,Pieza Exhibición,WEA Latina,40,117,2,620979
Colombia,2025/11/06,noviembre_2025,41,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Bad Bunny,Ozuna,Farruko,Arcángel,Ñengo Flow,DJ Luian,Mambo Kingz,NA,NA,NA,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,NA,NA,NA,Diles,Rimas Entertainment LLC,39,45,283,615713
Colombia,2025/11/06,noviembre_2025,42,"Danny Ocean, Kapo",Danny Ocean,Kapo,NA,NA,NA,NA,NA,NA,NA,NA,Venezuela,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,Imagínate,Atlantic Records,1,54,52,615550
Colombia,2025/11/06,noviembre_2025,43,Bad Bunny,Bad Bunny,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAILE INoLVIDABLE,Rimas Entertainment LLC.,1,42,44,609337
Colombia,2025/11/06,noviembre_2025,44,Arcángel,Arcángel,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pa' Que La Pases Bien,Cinq Recordings,23,50,148,606711
Colombia,2025/11/06,noviembre_2025,45,"Shakira, Ed Sheeran, Beéle",Shakira,Ed Sheeran,Beéle,NA,NA,NA,NA,NA,NA,NA,Colombia,Reino Unido,Colombia,NA,NA,NA,NA,NA,NA,NA,Hips Don't Lie - Spotify Anniversary Version,Sony Music Latin,20,20,2,599973
Colombia,2025/11/06,noviembre_2025,46,"Piso 21, Marc Anthony, Beéle",Piso 21,Marc Anthony,Beéle,NA,NA,NA,NA,NA,NA,NA,Colombia,Estados Unidos,Colombia,NA,NA,NA,NA,NA,NA,NA,Volver,WM Mexico,10,156,39,589937
Colombia,2025/11/06,noviembre_2025,47,"Rauw Alejandro, Romeo Santos",Rauw Alejandro,Romeo Santos,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,NA,Khé?,Sony Music Latin/Duars Entertainment,7,39,51,585757
Colombia,2025/11/06,noviembre_2025,48,"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn",Maluma,Trap Capos,Noriel,Bryant Myers,Juhn,NA,NA,NA,NA,NA,Colombia,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Sony Music Latin,16,51,116,585472
Colombia,2025/11/06,noviembre_2025,49,"KAROL G, Marco Antonio Solís",KAROL G,Marco Antonio Solís,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,Coleccionando Heridas,Bichota/Interscope Records,10,49,20,579948
Colombia,2025/11/06,noviembre_2025,50,"Yan Block, TORRRES",Yan Block,TORRRES,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,Yo sé,SONAR LLC.,42,58,44,579901
Colombia,2025/12/04,diciembre_2025,1,"Blessd, Fuerza Regida, Ovy On The Drums",Blessd,Fuerza Regida,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,Colombia,Mexico,Colombia,NA,NA,NA,NA,NA,NA,NA,COMO OREO,WEA Latina,1,1,14,1958603
Colombia,2025/12/04,diciembre_2025,2,Beéle,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,quédate,5020 Records,2,2,29,1627995
Colombia,2025/12/04,diciembre_2025,3,"W Sound, Beéle, Ovy On The Drums",W Sound,Beéle,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,La Plena - W Sound 05,WEA Latina,1,4,41,1529007
Colombia,2025/12/04,diciembre_2025,4,"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",Blessd,Anuel AA,Yan Block,Luar La L,Kris R.,ROA,NA,NA,NA,NA,Colombia,Puerto Rico,Puerto Rico,Puerto Rico,Colombia,Puerto Rico,NA,NA,NA,NA,"YOGURCITO REMIX (feat. Kris R., ROA)",WEA Latina,1,3,15,1373755
Colombia,2025/12/04,diciembre_2025,5,Blessd,Blessd,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,YOGURCITO,WEA Latina,4,10,66,1180965
Colombia,2025/12/04,diciembre_2025,6,"Ovy On The Drums, Quevedo, Beéle",Ovy On The Drums,Quevedo,Beéle,NA,NA,NA,NA,NA,NA,NA,Colombia,España,Colombia,NA,NA,NA,NA,NA,NA,NA,YO y TÚ,WEA Latina,2,5,25,1160691
Colombia,2025/12/04,diciembre_2025,7,Beéle,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,no tiene sentido,5020 Records,2,7,29,1137373
Colombia,2025/12/04,diciembre_2025,8,Beéle,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,top diesel,5020 Records,3,8,29,1106427
Colombia,2025/12/04,diciembre_2025,9,"Kybba, Sean Paul, Ryan Castro, Busy Signal",Kybba,Sean Paul,Ryan Castro,Busy Signal,NA,NA,NA,NA,NA,NA,Paises Bajos,Jamaica,Colombia,Jamaica,NA,NA,NA,NA,NA,NA,Ba Ba Bad Remix,Basshall,2,9,23,1103337
Colombia,2025/12/04,diciembre_2025,10,"Beéle, Ovy On The Drums",Beéle,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,mi refe,5020 Records,1,6,52,1087538
Colombia,2025/12/04,diciembre_2025,11,"Nanpa Básico, Beéle",Nanpa Básico,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,Hasta Aquí Llegué,5020 Records,3,12,72,1054750
Colombia,2025/12/04,diciembre_2025,12,"Blessd, Ovy On The Drums",Blessd,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,AMISTA,WEA Latina,2,13,32,1013232
Colombia,2025/12/04,diciembre_2025,13,"Blessd, GeezyDee",Blessd,GeezyDee,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,DIOMEDEZ,WEA Latina,1,11,6,980056
Colombia,2025/12/04,diciembre_2025,14,"Ryan Castro, Dongo",Ryan Castro,Dongo,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,SANKA,AWOO Corp./Sony Music Latin,7,14,26,917843
Colombia,2025/12/04,diciembre_2025,15,"Kris R., GeezyDee, Prodmonja",Kris R.,GeezyDee,Prodmonja,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,BOBADITA,WEA Latina,15,16,5,840120
Colombia,2025/12/04,diciembre_2025,16,Beéle,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,si te pillara,5020 Records,6,15,28,834929
Colombia,2025/12/04,diciembre_2025,17,"El Goldo, Pirlo",El Goldo,Pirlo,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,EL FICTICIO,Navia Music Publishing Entertainment SAS,17,27,2,825962
Colombia,2025/12/04,diciembre_2025,18,"Kenny Die, Blessd, Kris R., Sebas",Kenny Die,Blessd,Kris R.,Sebas,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,Ecuador,NA,NA,NA,NA,NA,NA,Ultra Complicado (feat. Sebas) - Remix,WEA Latina,3,19,42,813994
Colombia,2025/12/04,diciembre_2025,19,"Héctor ""El Father"", Wisin & Yandel","Héctor ""El Father""",Wisin & Yandel,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,El Teléfono,Machete Music,19,21,18,813785
Colombia,2025/12/04,diciembre_2025,20,"Kapo, Ryan Castro",Kapo,Ryan Castro,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,DÓNDE,Sony Music Latin/La Industria,14,18,22,806273
Colombia,2025/12/04,diciembre_2025,21,Rels B,Rels B,NA,NA,NA,NA,NA,NA,NA,NA,NA,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,TU VAS SIN (fav),DALE PLAY Records / Flakk Team,14,17,22,797018
Colombia,2025/12/04,diciembre_2025,22,Grupo Firme,Grupo Firme,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,El Beneficio De La Duda,Music VIP Entertainment Presenta Grupo Firme,22,22,41,777854
Colombia,2025/12/04,diciembre_2025,23,Kapo,Kapo,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,UWAIE,Sony Music Latin/La Industria,1,33,68,765480
Colombia,2025/12/04,diciembre_2025,24,"KAROL G, Feid",KAROL G,Feid,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,Verano Rosa,Bichota/Interscope Records,5,26,24,759604
Colombia,2025/12/04,diciembre_2025,25,"Blessd, Los Money Makers, Prodmonja",Blessd,Los Money Makers,Prodmonja,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NUEVA YORK,WEA Latina,25,29,27,748001
Colombia,2025/12/04,diciembre_2025,26,"Feid, ATL Jacob",Feid,ATL Jacob,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,NA,LUNA,UMLE - Latino,1,38,105,711798
Colombia,2025/12/04,diciembre_2025,27,"Rodolfo Aicardi, Los Hispanos",Rodolfo Aicardi,Los Hispanos,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,Cariñito,Discos Fuentes Edimúsica S.A.S.,18,102,33,707471
Colombia,2025/12/04,diciembre_2025,28,"Blessd, Ovy On The Drums",Blessd,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,Mírame,WEA Latina,1,34,85,694377
Colombia,2025/12/04,diciembre_2025,29,"El Bogueto, Yung Beef",El Bogueto,Yung Beef,NA,NA,NA,NA,NA,NA,NA,NA,Mexico,España,NA,NA,NA,NA,NA,NA,NA,NA,Cuando No Era Cantante,Candela Music,29,45,5,682158
Colombia,2025/12/04,diciembre_2025,30,"Blessd, Kris R., Young Fatty, TURY, CARABIN3, GeezyDee",Blessd,Kris R.,Young Fatty,TURY,CARABIN3,GeezyDee,NA,NA,NA,NA,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,NA,NA,NA,NA,"40 DE DICIEMBRE (feat. GeezyDee, CARABIN3)",WEA Latina,10,32,4,676008
Colombia,2025/12/04,diciembre_2025,31,Plan B,Plan B,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,Es un Secreto,Pina Records,18,37,253,675840
Colombia,2025/12/04,diciembre_2025,32,Bad Bunny,Bad Bunny,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAILE INoLVIDABLE,Rimas Entertainment LLC.,1,41,48,675631
Colombia,2025/12/04,diciembre_2025,33,"Blessd, Anuel AA, Kris R., Young Fatty, CARABIN3, GeezyDee, TURY",Blessd,Anuel AA,Kris R.,Young Fatty,CARABIN3,GeezyDee,TURY,NA,NA,NA,Colombia,Puerto Rico,Colombia,Colombia,Colombia,Colombia,Colombia,NA,NA,NA,"BUENOS DIAS (feat. Tury, GeezyDee, CARABIN3)",WEA Latina,8,23,4,670862
Colombia,2025/12/04,diciembre_2025,34,"Blessd, Sebastian Ledher, Tayson Kryss, Joseph Ren",Blessd,Sebastian Ledher,Tayson Kryss,Joseph Ren,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Cuba,Colombia,NA,NA,NA,NA,NA,NA,UNA NOCHE DE LOCURA,WEA Latina,10,24,28,668313
Colombia,2025/12/04,diciembre_2025,35,"Yan Block, Panda Black",Yan Block,Panda Black,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,444,SONAR LLC.,25,39,72,665274
Colombia,2025/12/04,diciembre_2025,36,"W Sound, Blessd, Ovy On The Drums",W Sound,Blessd,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,Soltera - W Sound 01,WEA Latina,1,20,70,658724
Colombia,2025/12/04,diciembre_2025,37,"Fuerza Regida, Grupo Frontera",Fuerza Regida,Grupo Frontera,NA,NA,NA,NA,NA,NA,NA,NA,Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,COQUETA,Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin,19,28,31,657399
Colombia,2025/12/04,diciembre_2025,38,"Ryan Castro, Kapo, Gangsta",Ryan Castro,Kapo,Gangsta,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,LA VILLA,AWOO Corp./Sony Music Latin,38,56,5,634939
Colombia,2025/12/04,diciembre_2025,39,Kris R.,Kris R.,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,LOS CACORROS USAN KLEIMOND,WEA Latina,4,25,10,631783
Colombia,2025/12/04,diciembre_2025,40,"Blessd, Los Money Makers, Prodmonja",Blessd,Los Money Makers,Prodmonja,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,URUS BLUE,WEA Latina,22,31,27,630249
Colombia,2025/12/04,diciembre_2025,41,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",KAROL G,Feid,DFZM,Ovy On The Drums,J Balvin,Maluma,Ryan Castro,Blessd,NA,NA,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,NA,NA,57,Bichota/Interscope Records,1,42,56,626574
Colombia,2025/12/04,diciembre_2025,42,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Bad Bunny,Ozuna,Farruko,Arcángel,Ñengo Flow,DJ Luian,Mambo Kingz,NA,NA,NA,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,NA,NA,NA,Diles,Rimas Entertainment LLC,39,46,287,616209
Colombia,2025/12/04,diciembre_2025,43,"KAROL G, Marco Antonio Solís",KAROL G,Marco Antonio Solís,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,Coleccionando Heridas,Bichota/Interscope Records,10,35,24,604977
Colombia,2025/12/04,diciembre_2025,44,"Rauw Alejandro, Romeo Santos",Rauw Alejandro,Romeo Santos,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,NA,Khé?,Sony Music Latin/Duars Entertainment,7,62,55,602355
Colombia,2025/12/04,diciembre_2025,45,Zion & Lennox,Zion & Lennox,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,La player (Bandolera),WEA Latina,2,51,162,600269
Colombia,2025/12/04,diciembre_2025,46,"Tony Dize, Plan B",Tony Dize,Plan B,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,Solos,Pina Records,29,47,164,577539
Colombia,2025/12/04,diciembre_2025,47,"Armando Hernandez, El Combo Caribe",Armando Hernandez,El Combo Caribe,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,Loquito Por Ti,Discos Fuentes Edimúsica S.A.S.,14,-1,21,573554
Colombia,2025/12/04,diciembre_2025,48,"Danny Ocean, Kapo",Danny Ocean,Kapo,NA,NA,NA,NA,NA,NA,NA,NA,Venezuela,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,Imagínate,Atlantic Records,1,30,56,573367
Colombia,2025/12/04,diciembre_2025,49,Beéle,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,sobelove,5020 Records,5,49,39,569561
Colombia,2025/12/04,diciembre_2025,50,Beéle,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,frente al mar,5020 Records,13,70,62,569322
Colombia,2026/01/08,enero_2026,1,"Ryan Castro, Kapo, Gangsta",Ryan Castro,Kapo,Gangsta,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,LA VILLA,AWOO Corp./Sony Music Latin,1,2,10,1539496
Colombia,2026/01/08,enero_2026,2,"W Sound, Beéle, Ovy On The Drums",W Sound,Beéle,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,La Plena - W Sound 05,WEA Latina,1,1,46,1467018
Colombia,2026/01/08,enero_2026,3,Beéle,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,quédate,5020 Records,2,3,34,1315469
Colombia,2026/01/08,enero_2026,4,Beéle,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,no tiene sentido,5020 Records,2,6,34,1249732
Colombia,2026/01/08,enero_2026,5,"Beéle, Ovy On The Drums",Beéle,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,mi refe,5020 Records,1,13,57,1158954
Colombia,2026/01/08,enero_2026,6,Grupo Firme,Grupo Firme,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,El Beneficio De La Duda,Music VIP Entertainment Presenta Grupo Firme,3,4,46,1016287
Colombia,2026/01/08,enero_2026,7,"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",Blessd,Anuel AA,Yan Block,Luar La L,Kris R.,ROA,NA,NA,NA,NA,Colombia,Puerto Rico,Puerto Rico,Puerto Rico,Colombia,Puerto Rico,NA,NA,NA,NA,"YOGURCITO REMIX (feat. Kris R., ROA)",WEA Latina,1,7,20,986146
Colombia,2026/01/08,enero_2026,8,"Blessd, Los Money Makers, Prodmonja",Blessd,Los Money Makers,Prodmonja,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NUEVA YORK,WEA Latina,8,18,32,979468
Colombia,2026/01/08,enero_2026,9,Blessd,Blessd,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,YOGURCITO,WEA Latina,4,10,71,966514
Colombia,2026/01/08,enero_2026,10,"Blessd, Ovy On The Drums",Blessd,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,AMISTA,WEA Latina,2,12,37,940065
Colombia,2026/01/08,enero_2026,11,"Blessd, Fuerza Regida, Ovy On The Drums",Blessd,Fuerza Regida,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,Colombia,Mexico,Colombia,NA,NA,NA,NA,NA,NA,NA,COMO OREO,WEA Latina,1,14,19,908410
Colombia,2026/01/08,enero_2026,12,Beéle,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,top diesel,5020 Records,3,11,34,850217
Colombia,2026/01/08,enero_2026,13,"Kapo, Ryan Castro",Kapo,Ryan Castro,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,DÓNDE,Sony Music Latin/La Industria,13,19,27,828017
Colombia,2026/01/08,enero_2026,14,"Ryan Castro, Dongo",Ryan Castro,Dongo,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,SANKA,AWOO Corp./Sony Music Latin,7,15,31,816945
Colombia,2026/01/08,enero_2026,15,"Kybba, Sean Paul, Ryan Castro, Busy Signal",Kybba,Sean Paul,Ryan Castro,Busy Signal,NA,NA,NA,NA,NA,NA,Paises Bajos,Jamaica,Colombia,Jamaica,NA,NA,NA,NA,NA,NA,Ba Ba Bad Remix,Basshall,2,5,28,812519
